rank,prev_rank,name,league,off,def,spi
302,321,Hebei China Fortune FC,Chinese Super League,1.29,1.46,41.94
303,352,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.31,1.48,41.93
304,299,Vítoria,Brasileiro Série A,1.21,1.37,41.82
305,301,Kayserispor,Turkish Turkcell Super Lig,1.2,1.36,41.76
306,337,Barnsley,English League One,1.21,1.38,41.7
307,286,Panathinaikos,Greek Super League,0.99,1.12,41.67
308,268,FC Nordsjaelland,Danish SAS-Ligaen,1.41,1.61,41.63
309,305,Colon Santa Fe,Argentina Primera Division,1.03,1.17,41.62
310,307,Sport Recife,Brasileiro Série A,1.11,1.26,41.57
311,314,Heracles,Dutch Eredivisie,1.54,1.77,41.53
312,310,Shanghai Greenland,Chinese Super League,1.35,1.55,41.45
313,303,Rotherham United,English League Championship,1.4,1.61,41.44
314,312,Aberdeen,Scottish Premiership,1.3,1.5,41.36
315,313,Estudiantes,Argentina Primera Division,0.97,1.11,41.33
316,350,AGF Aarhus,Danish SAS-Ligaen,1.33,1.53,41.21
317,306,Cadiz,Spanish Segunda Division,1.11,1.29,41.13
318,359,Larissa,Greek Super League,0.94,1.08,41.12
319,390,Charlton Athletic,English League One,1.06,1.23,41.06
320,328,Melbourne City,Australian A-League,1.2,1.4,41.0
321,318,Kashiwa Reysol,Japanese J League,1.44,1.68,40.89
322,316,Odense BK,Danish SAS-Ligaen,1.08,1.27,40.83
323,320,Chaves,Portuguese Liga,1.14,1.34,40.76
324,322,St Gallen,Swiss Raiffeisen Super League,1.31,1.54,40.69
325,323,Aldosivi,Argentina Primera Division,0.96,1.14,40.66
326,308,Heerenveen,Dutch Eredivisie,1.67,1.96,40.54
327,347,Mallorca,Spanish Segunda Division,1.07,1.26,40.53
328,325,Bursaspor,Turkish Turkcell Super Lig,0.97,1.15,40.36
329,327,Waasland-Beveren,Belgian Jupiler League,1.42,1.7,40.16
330,348,Portland Timbers,Major League Soccer,1.42,1.7,40.08
331,317,Hammarby,Swedish Allsvenskan,1.36,1.64,40.01
332,309,Morelia,Mexican Primera Division Torneo Clausura,1.25,1.5,39.95
333,332,Belgrano Cordoba,Argentina Primera Division,0.93,1.13,39.92
334,335,Tondela,Portuguese Liga,1.2,1.45,39.71
335,363,Montreal Impact,Major League Soccer,1.12,1.37,39.63
336,336,Patronato,Argentina Primera Division,1.11,1.36,39.58
337,334,Antalyaspor,Turkish Turkcell Super Lig,1.2,1.47,39.46
338,346,Portsmouth,English League One,1.32,1.62,39.41
339,324,Sanfrecce Hiroshima,Japanese J League,1.02,1.26,39.4
340,338,FC Zurich,Swiss Raiffeisen Super League,1.1,1.36,39.39
341,339,San Martin San Juan,Argentina Primera Division,1.1,1.36,39.39
342,315,Columbus Crew,Major League Soccer,1.08,1.33,39.39
343,333,Hibernian,Scottish Premiership,1.13,1.39,39.36
344,319,Guangzhou RF,Chinese Super League,1.46,1.78,39.35
345,340,SC Paderborn,German 2. Bundesliga,1.36,1.66,39.34
346,331,DC United,Major League Soccer,1.24,1.52,39.28
347,341,Rosario Central,Argentina Primera Division,0.96,1.2,39.27
348,342,Godoy Cruz,Argentina Primera Division,1.04,1.29,39.22
349,343,PEC Zwolle,Dutch Eredivisie,1.25,1.54,39.22
350,344,Goiás,Brasileiro Série A,1.17,1.45,39.15
351,356,Östersunds FK,Swedish Allsvenskan,1.21,1.5,39.14
